,t1,t3,e2,best fitness,,,,,,,,,,,,,
53,0.501971288,0.500734514,0.898129001,1.40E-05,0.394257646,0.146902807,0.207888723,,,,,,,,,,
54,0.49889535,0.501489159,0.902918712,2.48E-05,0.220929906,0.297831872,0.324301339,,,,,,,,,,
55,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
56,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
57,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
58,0.49889535,0.500634598,0.899853499,6.83E-06,0.220929906,0.126919529,0.016277936,,,,,,,,,,
59,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
60,0.49976379,0.499052186,0.899048162,6.36E-06,0.047242083,0.189562882,0.105759832,,,,,,,,,,
61,0.49976379,0.499052186,0.899048162,6.36E-06,0.047242083,0.189562882,0.105759832,,,,,,,,,,
62,0.499876648,0.500634598,0.899853499,1.63E-06,0.024670419,0.126919529,0.016277936,,,,,,,,,,
63,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
64,0.499876648,0.500634598,0.899853499,1.63E-06,0.024670419,0.126919529,0.016277936,,,,,,,,,,
65,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
66,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
67,0.500596434,0.499113262,0.89956731,5.11E-06,0.119286731,0.177347501,0.04807668,,,,,,,,,,
68,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
69,0.499876648,0.49986204,0.899853499,2.97E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
70,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
71,0.499280256,0.500201218,0.89979549,2.49E-06,0.1439489,0.040243564,0.022723354,,,,,,,,,,
72,0.49936296,0.499971134,0.89949924,2.38E-06,0.127407943,0.005773246,0.055639997,,,,,,,,,,
73,0.499876648,0.49986204,0.899853499,2.44E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
74,0.499675244,0.499971134,0.900048539,4.06E-07,0.064951296,0.005773246,0.005393258,,,,,,,,,,
75,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
76,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
77,0.500596434,0.500262019,0.89956731,1.35E-06,0.119286731,0.052403729,0.04807668,,,,,,,,,,
78,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
79,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
80,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
81,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
82,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
83,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
84,0.500021782,0.500033344,0.90019961,6.31E-08,0.004356472,0.00666878,0.022178933,,,,,,,,,,
85,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
86,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
87,0.500017346,0.499971134,0.900048539,2.45E-08,0.003469181,0.005773246,0.005393258,,,,,,,,,,
88,0.500021782,0.500033344,0.90019961,6.31E-08,0.004356472,0.00666878,0.022178933,,,,,,,,,,
89,0.500002419,0.499893898,0.899890233,7.46E-08,0.000483849,0.021220489,0.012196328,,,,,,,,,,
90,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
91,0.500002419,0.499982956,0.899890233,1.59E-08,0.000483849,0.003408875,0.012196328,,,,,,,,,,
92,0.500030426,0.500108045,0.899822866,4.70E-08,0.006085165,0.021608947,0.019681502,,,,,,,,,,
93,0.500002419,0.499982956,0.899890233,1.59E-08,0.000483849,0.003408875,0.012196328,,,,,,,,,,
94,0.500053948,0.499937003,0.899958557,3.10E-08,0.010789554,0.012599488,0.004604756,,,,,,,,,,
95,0.500053948,0.499937003,0.900049739,3.05E-08,0.010789554,0.012599488,0.005526511,,,,,,,,,,
96,0.500021782,0.499993892,0.899910724,8.26E-09,0.004356472,0.001221679,0.00991951,,,,,,,,,,
97,0.500021782,0.499993892,0.899910724,1.12E-08,0.004356472,0.001221679,0.00991951,,,,,,,,,,
98,0.500021782,0.499993892,0.899910724,8.26E-09,0.004356472,0.001221679,0.00991951,,,,,,,,,,
99,0.499969841,0.499931122,0.900152877,2.45E-08,0.006031781,0.013775557,0.016986292,,,,,,,,,,
