,t1,t3,e1,e3,best fitness,,,,,
90,0.500007946,0.500046293,0.900295649,0.899967107,3.05E-08,,1.58914E-05,9.25867E-05,0.000328499,3.6548E-05
91,0.500000349,0.500046293,0.900295649,0.899967107,2.93E-08,,6.98333E-07,9.25867E-05,0.000328499,3.6548E-05
92,0.499999238,0.500057959,0.899979517,0.90019971,2.86E-08,,1.52349E-06,0.000115919,2.2759E-05,0.0002219
93,0.499999238,0.500057959,0.899979517,0.90019971,2.86E-08,,1.52349E-06,0.000115919,2.2759E-05,0.0002219
94,0.499999238,0.500057959,0.899979517,0.90019971,2.86E-08,,1.52349E-06,0.000115919,2.2759E-05,0.0002219
95,0.499998104,0.500026745,0.900124601,0.899842592,1.06E-08,,3.79243E-06,5.34906E-05,0.000138446,0.000174898
96,0.499999238,0.500057959,0.899979517,0.90019971,2.86E-08,,1.52349E-06,0.000115919,2.2759E-05,0.0002219
97,0.499999238,0.500057959,0.899979517,0.90019971,2.86E-08,,1.52349E-06,0.000115919,2.2759E-05,0.0002219
98,0.499993434,0.500028355,0.900004453,0.899772022,1.31E-08,,1.31313E-05,5.67095E-05,4.94734E-06,0.000253309
99,0.499990547,0.50000106,0.899900052,0.899986227,3.24E-09,,1.8905E-05,2.12098E-06,0.000111053,1.53039E-05
